,delta_rho_pred,delta_rho,sigma_bias_delta_rho,delta_rho_scatter,delta_rho_trans_inv,T_pred,T,sigma_bias_T,T_scatter,T_trans_inv
0,2.8014270663931393,2.968421570077986,0.2704705761439522,3.240764692759894,2.847494954851731,4.624484040118775,4.60430720703112,0.17670959431854336,4.619528145518518,4.6831800564080615
1,3.1154931453328527,2.9073605667198947,0.2704705761439522,2.9500310356731587,3.3379110691140093,4.541336649602397,4.600945850145669,0.17670959431854336,4.62495957925462,4.561028904306051
2,3.0277127528445473,2.814041681168224,0.2704705761439522,2.8848578347068896,3.201666327947046,4.435459805700407,4.316144552489442,0.17670959431854336,4.462602688519894,4.3807313165400705
3,3.2007332890838676,2.912481122501603,0.2704705761439522,2.9105268476649053,3.5014370659102374,4.500547735353436,4.228110044145356,0.17670959431854336,4.793974851765445,4.484533101263503
4,2.9125428943508487,3.201398231396272,0.2704705761439522,3.1466101944536664,3.0227396593345564,4.217072680684021,4.168063799808788,0.17670959431854336,4.081834454948123,4.09129084447781
5,2.935054132367626,2.489669775579824,0.2704705761439522,2.3125556350048146,3.0561550051409183,4.617350763665859,4.861833665266238,0.17670959431854336,4.314960144006998,4.674943337303792
6,3.1783372564787893,3.2179910538922947,0.2704705761439522,3.6502574996091663,3.4575157669586147,4.496619613673862,4.432879934131129,0.17670959431854336,4.303272172798562,4.4799179849791155
7,2.701991114775906,2.458619409228177,0.2704705761439522,2.4961070457260552,2.6926037995399237,4.60743379892395,3.8543949552181007,0.17670959431854336,4.581145854530197,4.661978346158117
8,2.757509144933068,2.3565184753226767,0.2704705761439522,2.843799833056077,2.769968207050089,4.36868490545234,4.540610937929924,0.17670959431854336,4.189377446163318,4.2855832528433115
9,2.756649015141308,3.152173237615745,0.2704705761439522,2.6892016660126994,2.7675543335552844,4.565358550684466,4.708854282686679,0.17670959431854336,4.4958843130655035,4.598287937890493
10,2.7406337609609674,3.1801823367247337,0.2704705761439522,3.136090937078167,2.7459692374934552,4.145121006377983,4.004766551011988,0.17670959431854336,4.3411641765882045,4.0501800258868625
11,2.69405551468383,2.288928799853032,0.2704705761439522,2.136848070048389,2.682856690016568,4.302863486350217,4.192336228657707,0.17670959431854336,4.466770551571211,4.1805487122501175
12,2.8304869294376673,3.077492555482092,0.2704705761439522,2.7432825625094117,2.9045026162360372,4.386555744020248,4.466303058737634,0.17670959431854336,4.262084391591315,4.310998632656201
13,2.6189133853113904,2.3055595458635167,0.2704705761439522,2.5150379827336304,2.572747224350952,4.699890613914758,4.7010365107336405,0.17670959431854336,4.528629039055901,4.80465792171689
14,2.705698543829846,2.6039042960507714,0.2704705761439522,3.0123498181127193,2.698523057146375,4.034056764490417,3.944587592384639,0.17670959431854336,3.861299755518726,3.8649484101901312
15,2.8696172489189626,2.437917607975578,0.2704705761439522,2.5721290241528347,2.957176817968689,4.499234657138558,4.575853679783492,0.17670959431854336,4.3666036104186565,4.48308905371017
16,2.7558269878152797,2.635305282902088,0.2704705761439522,2.7091902311756444,2.7670317324569274,4.729244894901364,4.897155097062496,0.17670959431854336,4.429997729536319,4.846916131231453
17,2.8570251155760946,3.25985201394926,0.2704705761439522,2.6195902435080827,2.9407638215333125,4.53137817049222,4.746013913822352,0.17670959431854336,4.431962888035585,4.543849637232138
18,2.721471908753541,2.191691264953697,0.2704705761439522,2.7328894851489025,2.720662456066957,4.277856526275228,4.015063400993241,0.17670959431854336,4.483020010175824,4.143986610133822
